label,review
1,﻿更博了，爆照了，帅的呀，就是越来越爱你！生快傻缺[爱你][爱你][爱你]
1,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。
1,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子]
1,美~~~~~[爱你]
1,梦想有多大，舞台就有多大![鼓掌]
1,[花心][鼓掌]//@小懒猫Melody2011: [春暖花开]
1,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈]
1,吃货们无不啧啧称奇，好不喜欢！PS:写错一个字！[哈哈]@森林小天使-波琪 @SEVEN厦门摄影师 @日月星辰-心在路上 @每种型号生两胎 @志远天下行 @监控防盗安装XM @创意美食simon哥 @漫游者-强子 @陈小kitty猫@游子的歌@solo在厦门
1,"#Sweet Morning#From now on,love yourself,enjoy living then smile.从现在开始，爱自己，享受生活并且微笑。[呵呵] [嘻嘻] [哈哈] [挤眼] [太开心] 早安、甜心们"
1,【霍思燕剖腹产下“小江江” 老公落泪】今晨9时霍思燕产下一名男婴，宝宝重8斤3两，母子平安。杜江的脸上洋溢着做爸爸的欣喜：宝宝小名叫“小江江”，眼睛像他，鼻子和嘴巴则像霍思燕，看到宝贝就忍不住落泪！恭喜@杜江侦察记 @霍思燕 ，祝福“小江江”在爱里健康地成长[爱你]...http://t.cn/z8EwSPU
1,[鼓掌]//@慕春彦: 一流的经纪公司是超模的摇篮！[鼓掌] //@姚戈:东方宾利强大的名模军团！
1,真好//@宁波华侨豪生大酒店：[可爱] [害羞]
1,"第一次见到有花瓣的面膜，一片抵普通面膜好几片 [哈哈]！补水神器啊，一帖见效！ 睡前一片，15分钟超神奇膜法，第二天起来你会发现你脸又白又嫩还有光泽，持续几天皮肤好像剥了壳的鸡蛋一样白白嫩嫩的[太开心]！ 明星推荐，美妆老师私藏的神奇""膜""法！8片礼盒装抢购地址>>>（去评论中找链接哦）"
1,好感动[亲亲]大家都陆陆续续收到超极本尼泊尔的奖品了，没想到你还带着去看瓷房子~祝蜜月快乐哦
1,"[雪]大象感觉好冷喔。。。 //@刑警叔叔: @小豆冰棍J202,@朱大象。//@新浪短信微博:大象放冰箱分三步，绑定手机也分三步。大象放冰箱很冷，微博绑了手机更安全哦～[可爱]"
1,[哈哈] //@维他命羊:探子！[偷笑] //@每日维他命Beijing: [偷笑]@曙光ruirui //@不赖赖: 店里来了探子竟不知 //@薄荷Rebecca:@不赖赖 @冷山雪具 赖老板的货品华丽丽的出镜鸟[鼓掌]
1,更要感激部门同事@Miss猫小姐 @罗罗不落 和尚未开博的小徐同学及@番茄宝宝303 的辛苦付出，让我们携手前行、踏浪远航，创造属于我们的无限炫彩[爱你]
1,陪看，有三陪嫌疑，[哈哈]
1,还有 @星外星周小川 ，各位都是好声音啊，演唱会就星外星筹办了[哈哈] //@陈文彪BC: 回复@俞文辉:持续发生，你的演唱会什么时候开啊，你也是传说中的中国好声音啊，hoho 同意的举手 @天拓黄挺 @叶轩_汉草荟 @loson @cocon8 @张谦 //@俞文辉:有爱心，期待百首童谣！ //@陈文彪BC:女儿，你有音乐唱了
1,第一次见，真心分辨不出是谁是谁，更别提真假了[嘻嘻]
1,[嘻嘻]好玩。//@MaggieMXS: 这个真的超叼的~//@咸鱼要翻身_: 这个cool哦~[酷]?哦~@?志祥
